Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 22
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 28
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 26
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 69
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 62
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 42
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 7
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 2
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 37
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 73
Av. do Contorno entre Gutierrez e Savassi, 5a f, 18h-19h, 46
Av. do Contorno entre Gutierrez e Savassi, 5a f, 19h-20h, 60
Av. do Contorno entre Gutierrez e Savassi, 5a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Sab f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 16h-17h, 5
Av. do Contorno entre Gutierrez e Savassi, Sab f, 17h-18h, 15
Av. do Contorno entre Gutierrez e Savassi, Sab f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 19h-20h, 7
Av. do Contorno entre Gutierrez e Savassi, Sab f, 20h-21h, 16
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 7
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 7
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 22
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 39
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 36
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 62
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 13
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 17
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 34
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 58
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 107
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 30
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 14
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 50
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 129
Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 6
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 28
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 13
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 14
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 34
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 60
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 73
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 48
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 14
Av. do Contorno entre Gutierrez e Savassi, Sab f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 18h-19h, 12
Av. do Contorno entre Gutierrez e Savassi, Sab f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 5
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
